county_fips,population,estimated_houses,allstate_policies_in_force,allstate_pif_fraction
2240,7170,1864,187,0.10032188841201717
2275,2369,616,48,0.07792207792207792
2282,662,172,7,0.040697674418604654
2290,24652,6409,408,0.0636604774535809
4001,73391,19080,1974,0.10345911949685535
4003,123714,32165,3305,0.1027514378983367
4005,134390,34942,3586,0.10262721080647931
4007,60914,15838,1810,0.11428210632655639
4009,46249,12025,1482,0.12324324324324325
4011,8446,2196,282,0.1284153005464481
4012,20489,5326,522,0.09800976342470898
4013,3780571,982952,93281,0.0948988353449609
4015,199445,51855,5297,0.10215022659338541
4017,96737,25150,2888,0.114831013916501
4019,965253,250965,26423,0.1052855975932899
4021,426580,110912,12873,0.1160649884593191
4023,47545,12363,1051,0.08501172854485158
4025,213946,55627,5834,0.1048771280133748
4027,195038,50710,2835,0.0559061329126405
5001,19777,5142,422,0.08206923376118241
5003,21614,5619,405,0.07207688200747464
5005,43734,11370,775,0.0681618293755497
5007,212582,55274,5242,0.09483663205123566
5009,35614,9259,1063,0.11480721460200885
5011,11599,3016,285,0.09449602122015915
5013,4158,1081,84,0.07770582793709528
5015,28005,7281,662,0.09092157670649637
5017,9111,2369,189,0.07978049810046434
5019,25232,6561,382,0.058222831885383325
5021,16199,4210,285,0.06769596199524941
5023,26072,6780,451,0.06651917404129794
5025,8176,2125,198,0.09317647058823529
5027,23161,6022,506,0.08402524078379275
5029,20037,5209,567,0.1088500671913995
5031,97352,25311,2975,0.11753782940223619
5033,58637,15246,1325,0.086908041453496
5035,52691,13699,1408,0.10278122490692751
5037,17752,4616,497,0.1076689774696707
5039,9430,2452,194,0.07911908646003263
5041,7492,1948,172,0.08829568788501027
5043,21190,5509,465,0.08440733345434744
5045,112381,29219,2084,0.07132345391697183
5047,22732,5910,352,0.05956006768189509
5049,10539,2740,233,0.08503649635036496
5051,102565,26666,2323,0.08711467786694667
5053,15299,3978,290,0.07290095525389644
5055,41040,10671,774,0.07253303345515884
5057,21167,5503,652,0.11848082863892423
5059,29939,7784,893,0.11472250770811922
5061,15136,3936,308,0.0782520325203252
5063,35204,9154,1007,0.11000655451168888
5065,11239,2924,281,0.09610123119015047
5067,20158,5241,569,0.10856706735355848
5069,77712,20205,2594,0.12838406335065577
5071,24357,6333,343,0.054160745302384336
5073,9410,2447,191,0.07805476093175316
5075,16132,4192,385,0.09184160305343511
5077,9898,2573,199,0.07734162456276719
5079,20219,5257,432,0.08217614609092638
5081,13168,3423,198,0.057843996494303246
5083,23139,6016,371,0.0616688829787234
5085,72129,18754,1415,0.07545057054495041
5087,20718,5387,315,0.0584741043252274
5089,16999,4419,342,0.07739307535641547
5091,43436,11294,900,0.07968833008677173
5093,45927,11941,1319,0.11045976048907127
5095,8017,2084,124,0.05950095969289827
5097,7810,2032,174,0.08562992125984252
5099,9025,2347,193,0.08223263740945888
5101,7954,2069,147,0.07104881585306912
5103,27038,7029,810,0.11523687580025609
5105,11073,2878,174,0.06045865184155664
5107,21972,5713,523,0.09154559775949589
5109,10901,2835,214,0.07548500881834215
5111,25254,6565,542,0.08255902513328256
5113,20851,5421,432,0.07969009407858328
5115,62752,16315,1587,0.09727244866687097
5117,7703,2003,147,0.07338991512730904
5119,377925,98259,9685,0.09856603466349138
5121,20217,5255,406,0.07725975261655565
5123,26851,6980,443,0.06346704871060171
5125,106113,27589,2054,0.07444996194135343
5127,9298,2417,177,0.07323127844435251
5129,8490,2207,162,0.07340280924331671
5131,125651,32669,3374,0.10327833726162416
5133,17142,4458,289,0.06482727680574249
5135,19643,5109,349,0.06831082403601488
5137,11404,2965,244,0.08229342327150084
5139,42043,10931,718,0.06568474979416339
5141,16759,4358,300,0.06883891693437356
5143,207319,53901,5300,0.09832841691248771
5145,76046,19770,1822,0.09215983813859382
5147,7452,1937,226,0.11667527103768714
5149,22741,5914,330,0.05579979709164694
6001,1514691,393819,31770,0.0806715775521242
6003,5727,1489,177,0.11887172599059771
6005,38211,9934,995,0.10016106301590497
6007,220287,57274,4829,0.08431399937144254
6009,40958,10650,722,0.06779342723004694
6011,21078,5480,524,0.09562043795620438
6013,1054436,274156,27236,0.09934489852492741
6015,28596,7435,871,0.11714862138533962
6017,180987,47060,4023,0.08548661283467913
6019,907243,235887,26493,0.11231225120502614
6021,29238,7602,486,0.06393054459352802
6023,134681,35017,3511,0.10026558528714624
6025,170552,44345,3007,0.06780922313676851
6027,5640,1465,118,0.08054607508532423
6029,828333,215367,24353,0.11307674806260941
6031,151702,39444,2948,0.07473887029713011
6033,64599,16794,1261,0.07508634035965225
6035,37701,9802,1092,0.11140583554376658
6037,9817309,2552503,202971,0.07951841780401434
6039,151805,39470,2771,0.07020521915378769
6041,284543,73983,5676,0.07672032764283687
6043,16900,4394,530,0.12061902594446973
6045,87595,22774,1954,0.08579959603056117
6047,254483,66166,6468,0.09775413354290724
6049,10750,2795,274,0.09803220035778175
6051,26832,6977,691,0.09903970187759782
6053,406621,105723,10028,0.09485164060800394
6055,130000,33800,2446,0.07236686390532544
6057,93110,24209,2444,0.10095419059027634
6059,2981773,775263,71859,0.09268983557837791
6061,351770,91460,7741,0.08463809315547781
6063,18710,4863,449,0.09232983754883817
6065,2191564,569808,54981,0.09649039676522618
6067,1420705,369385,39130,0.10593283430567023
6069,53857,14003,1611,0.11504677569092338
6071,2026733,526948,48589,0.09220833934278146
6073,3126422,812872,63674,0.0783321359328406
6075,805232,209362,23697,0.11318672920587308
6077,673342,175070,18893,0.10791683326669332
6079,265448,69018,6504,0.0942362861862123
6081,690399,179505,18073,0.10068243224422718
6083,424106,110268,10411,0.0944154242391265
6085,1805212,469353,51113,0.10890097645056067
6087,280225,72860,5728,0.07861652484216305
6089,168202,43731,4029,0.09213143993963092
6091,3706,964,95,0.09854771784232365
6093,43543,11320,958,0.08462897526501767
6095,412119,107151,11101,0.10360145962240203
6097,458405,119186,11017,0.09243535314550366
6099,517032,134430,8625,0.06415978576210667
6101,93812,24391,1852,0.0759296461809684
6103,70407,18305,1628,0.08893744878448512
6105,13867,3606,335,0.09290072102052135
6107,468727,121868,11058,0.09073751928315883
6109,56702,14744,1251,0.08484807379272924
6111,837216,217678,17840,0.08195591653727065
6113,202753,52716,5017,0.09517034676379088
6115,72900,18954,1448,0.07639548380289121
8001,460805,119810,8475,0.07073700025039646
8003,15467,4022,543,0.13500745897563401
8005,517977,134673,8343,0.061950056804259204
8007,11831,3076,255,0.08289986996098829
8009,3803,989,109,0.1102123356926188
8011,6641,1727,166,0.09612044006948466
8013,258604,67237,3683,0.0547763880006544
8014,62286,16194,1108,0.06842040261825368
8015,17901,4655,432,0.09280343716433942
8017,1818,473,26,0.05496828752642706
8019,29200,7591,640,0.0843103675405085
8021,6789,1766,124,0.07021517553793885
8023,4881,1269,99,0.07801418439716312
8025,5738,1492,149,0.09986595174262734
8027,4240,1103,96,0.08703535811423391
8029,30070,7818,398,0.05090816065489895
8031,602213,156575,10457,0.06678588535845441
8033,6587,1712,100,0.05841121495327103
8035,287575,74769,5326,0.07123273014217123
8037,42172,10965,688,0.06274509803921569
8039,21084,5482,310,0.056548704852243704
8041,618970,160930,8865,0.05508606226309576
8043,46587,12112,659,0.05440885072655218
8045,42107,10948,1043,0.09526854219948849
8047,5148,1339,89,0.06646751306945482
8049,14818,3854,382,0.09911779968863518
8051,14379,3740,240,0.06417112299465241
8053,802,209,15,0.07177033492822966
8055,8365,2175,246,0.11310344827586206
8057,1394,362,45,0.12430939226519337
8059,551486,143385,9462,0.06599016633539073
8061,1398,364,29,0.07967032967032966
8063,8398,2184,119,0.05448717948717949
8065,7310,1900,197,0.1036842105263158
8067,51697,13440,1540,0.11458333333333333
8069,295957,76948,5472,0.07111295940115403
8071,15515,4033,456,0.11306719563600298
8073,6061,1576,102,0.06472081218274112
8075,22666,5893,526,0.08925844221958255
8077,145842,37918,3891,0.10261617173901577
8079,671,174,12,0.06896551724137931
8081,13747,3574,203,0.056799104644655846
8083,21293,5536,323,0.05834537572254335
8085,42174,10965,1299,0.11846785225718194
8087,28196,7332,403,0.0549645390070922
8089,17279,4491,423,0.09418837675350701
8091,3806,989,64,0.06471183013144591
8093,14970,3893,280,0.07192396609298742
8095,4722,1228,90,0.0732899022801303
8097,29709,7724,401,0.05191610564474366
8099,11914,3098,273,0.0881213686249193
8101,159228,41398,2592,0.06261172037296488
8103,19648,5109,406,0.07946760618516344
8105,11723,3047,239,0.07843780767968493
8107,23275,6051,723,0.11948438274665345
8109,6419,1668,115,0.06894484412470024
8111,659,171,11,0.06432748538011696
8113,7813,2032,134,0.06594488188976377
8115,2366,616,50,0.08116883116883117
8117,27583,7172,477,0.06650864472950363
8119,23606,6137,487,0.07935473358318397
8121,4424,1150,77,0.06695652173913043
8123,285714,74286,5128,0.06903050372883181
8125,9953,2587,244,0.09431774255894859
9001,916934,238403,19526,0.08190333175337558
9003,894383,232538,20798,0.08943914542999423
9005,189330,49226,3627,0.07368057530573274
9007,164856,42861,4327,0.10095424745106274
9009,862597,224280,19722,0.08793472445157838
9011,275315,71584,7279,0.10168473401877515
9013,152213,39574,2982,0.07535250416940416
9015,118466,30802,3112,0.10103240049347445
10001,158083,41101,3057,0.07437775236612248
10003,533487,138707,7335,0.05288125328930768
10005,206355,53654,5435,0.10129720058150371
11001,601370,156356,8686,0.05555271303947402
12001,259528,67478,7436,0.11019887963484395
12003,26551,6904,580,0.08400926998841252
12005,169991,44198,5075,0.11482420019005385
12007,23242,6043,632,0.1045838159854377
12009,543922,141418,11889,0.08406992037788683
12011,1748066,454495,46795,0.10296042860757544
12013,14168,3683,159,0.04317132772196579
12015,158596,41235,2882,0.06989208196920092
12017,140939,36643,2706,0.07384766531124635
12019,188710,49065,4495,0.0916131662080913
12021,321365,83556,8722,0.10438508305806884
12023,69829,18156,1075,0.05920907688918264
12027,34890,9071,609,0.06713703009591004
12029,17526,4557,363,0.07965766951942067
12031,866564,225309,20441,0.09072429419153252
12033,303382,78881,8018,0.10164678439674954
12035,94117,24470,1871,0.07646097261953412
12037,11231,2920,125,0.04280821917808219
12039,46389,12061,745,0.06176933919243844
12041,16884,4390,512,0.11662870159453304
12043,30777,8002,562,0.07023244188952762
12045,16198,4211,336,0.07979102350985515
12047,13092,3404,255,0.07491186839012925
12049,28036,7289,705,0.09672108656880231
12051,60195,15651,1224,0.078205865439908
12053,167057,43436,4539,0.10449857261257943
12055,100149,26038,2224,0.08541362623857439
12057,1249411,324849,32621,0.10041896388783712
12059,18262,4748,249,0.05244313395113732
12061,138080,35902,2721,0.0757896496016935
12063,51864,13485,890,0.06599925843529848
12065,13445,3496,224,0.06407322654462243
12067,12621,3281,349,0.1063700091435538
12069,300877,78228,6645,0.08494400981745666
12071,600003,156000,16797,0.10767307692307693
12073,275476,71623,9095,0.12698434860310234
12075,36578,9509,833,0.08760121989693974
12077,8364,2175,96,0.044137931034482755
12079,19844,5159,316,0.06125218065516573
12081,331694,86241,9084,0.10533273037186489
12083,328866,85507,7306,0.08544329704000841
12085,139490,36267,2921,0.08054153914026525
12086,2496420,649070,53674,0.08269370021723389
12087,73057,18995,1071,0.05638325875230324
12089,73213,19035,1707,0.0896769109535067
12091,181264,47129,3334,0.070742005983577
12093,20180,5247,345,0.06575185820468839
12095,1132205,294375,28188,0.09575541401273885
12097,267904,69656,5372,0.07712185597794878
12099,1311132,340891,30822,0.09041599807563121
12101,448718,116666,8656,0.07419470968405534
12103,916542,238301,21732,0.09119558877218308
12105,599370,155835,14458,0.09277761735168608
12107,71429,18570,1730,0.09316101238556812
12109,189995,49400,4940,0.1
12111,292857,76142,4534,0.05954663654750335
12113,147999,38479,3375,0.08771017957847137
12115,372947,96966,10095,0.10410865664253449
12117,432798,112527,10775,0.0957547966265874
12119,94024,24447,2172,0.08884525708675911
12121,37067,9637,838,0.08695652173913043
12123,22019,5726,382,0.06671323786238212
12125,17250,4485,380,0.08472686733556299
12127,497490,129347,10002,0.07732688040696731
12129,31103,8087,407,0.05032768641028812
12131,52464,13639,850,0.062321284551653346
12133,23092,6005,313,0.05212323064113239
13001,18112,4709,210,0.04459545551072414
13003,9482,2465,170,0.06896551724137931
13005,9848,2560,353,0.137890625
13007,2238,582,67,0.11512027491408934
13009,44250,11505,1075,0.09343763581051717
13011,21497,5590,334,0.059749552772808585
13013,73384,19080,1760,0.09224318658280922
13015,98778,25682,1800,0.07008799937699556
13017,18687,4859,368,0.07573574809631611
13019,20645,5368,358,0.06669150521609538
13021,139857,36363,3377,0.09286912520969116
13023,13756,3577,168,0.046966731898238745
13025,16315,4242,333,0.0785007072135785
13027,14844,3859,279,0.07229852293340244
13029,34126,8873,633,0.0713400202862617
13031,65886,17130,1579,0.0921774664331582
13033,19294,5016,334,0.06658692185007975
13035,27311,7101,515,0.07252499647936911
13037,7998,2080,188,0.09038461538461538
13039,50380,13099,1088,0.0830597755553859
13043,12370,3217,243,0.0755362138638483
13045,127714,33206,2908,0.08757453472264048
13047,48545,12623,917,0.07264517151231878
13049,12274,3191,221,0.06925728611720464
13051,269119,69973,7251,0.10362568419247424
13053,19235,5001,647,0.129374125174965
13055,27977,7273,592,0.08139694761446446
13057,230345,59889,5017,0.0837716442084523
13059,105377,27398,1743,0.06361778231987736
13061,2932,762,70,0.09186351706036745
13063,204700,53221,5520,0.10371845700005637
13065,6383,1659,100,0.06027727546714889
13067,685417,178208,16175,0.09076472436703178
13069,42433,11032,696,0.0630891950688905
13071,44605,11597,1137,0.09804259722341985
13073,133967,34831,1687,0.0484338663833941
13075,17312,4500,248,0.05511111111111111
13077,127532,33158,3501,0.10558537909403462
13079,5678,1476,152,0.10298102981029811
13081,23201,6032,318,0.05271883289124669
13083,15386,4001,339,0.08472881779555111
13085,27138,7056,508,0.07199546485260772
13087,27461,7139,466,0.0652752486342625
13089,754036,196050,17516,0.08934455496046927
13091,20264,5270,301,0.057115749525616696
13093,14911,3876,449,0.11584107327141382
13095,101511,26394,3011,0.11407895733878912
13097,135569,35248,2735,0.07759305492510213
13099,10431,2712,201,0.07411504424778761
13101,11138,2895,184,0.06355785837651122
13103,48084,12502,705,0.05639097744360902
13105,21001,5460,383,0.07014652014652015
13107,24132,6274,434,0.06917437041759643
13109,11415,2967,167,0.056285810583080555
13111,23768,6181,457,0.0739362562692121
13113,108994,28338,2215,0.07816359658409203
13115,92460,24039,2439,0.10146012729314863
13117,129584,33692,2727,0.08093909533420396
13119,25688,6679,586,0.08773768528222788
13121,976741,253953,18748,0.07382468409508847
13123,26752,6955,526,0.07562904385334292
13125,3343,869,42,0.04833141542002301
13127,79362,20633,1046,0.050695487810788545
13129,56820,14774,1747,0.11824827399485582
13131,22422,5830,400,0.0686106346483705
13133,15688,4078,356,0.08729769494850417
13135,743670,193355,17675,0.09141216932585142
13137,36598,9516,679,0.07135350987810005
13139,181957,47308,3424,0.07237676502917054
13141,9729,2530,300,0.11857707509881422
13143,26617,6921,484,0.0699320907383326
13145,38727,10071,951,0.09442955019362526
13147,22862,5944,435,0.07318304172274563
13149,9433,2453,142,0.05788830004076641
13151,218766,56879,5504,0.09676682079502101
13153,133519,34715,3964,0.11418695088578425
13155,9277,2413,230,0.09531703273932864
13157,86718,22547,1727,0.07659555594979377
13159,12993,3378,333,0.09857904085257549
13161,15195,3951,262,0.0663123259934194
13163,17512,4553,354,0.07775093345047221
13165,8224,2138,169,0.07904583723105706
13167,9201,2393,284,0.11867948182198078
13169,52104,13547,702,0.05181959105336975
13171,17631,4584,263,0.05737347294938918
13173,7616,1981,126,0.0636042402826855
13175,47932,12463,734,0.05889432720853727
13177,25422,6610,590,0.08925869894099848
13179,66078,17181,899,0.052325243000989466
13181,7676,1996,104,0.052104208416833664
13183,9749,2535,116,0.04575936883629191
13185,106451,27678,3363,0.12150444396271406
13187,25296,6577,465,0.07070092747453247
13189,21816,5672,315,0.055535966149506344
13191,14040,3651,337,0.09230347849904136
13193,14261,3707,353,0.09522524952792015
13195,26507,6892,490,0.07109692396982008
13197,8670,2254,288,0.12777284826974267
13199,19621,5102,351,0.06879655037240298
13201,6166,1603,132,0.08234560199625701
13205,25933,6742,526,0.078018392168496
13207,21147,5498,349,0.06347762822844671
13209,6050,1573,115,0.07310870947234584
13211,17332,4506,382,0.08477585441633377
13213,37519,9755,407,0.04172219374679651
13215,183746,47773,5998,0.1255520900927302
13217,101522,26396,1686,0.06387331413850583
13219,32518,8454,738,0.08729595457771469
13221,16923,4400,404,0.09181818181818181
13223,101795,26467,2292,0.0865984055616428
13225,37430,9732,507,0.05209617755856967
13227,28268,7350,681,0.0926530612244898
13229,18865,4904,257,0.052406199021207175
13231,18508,4812,524,0.10889443059019119
13233,47471,12343,931,0.07542736773879932
13235,14197,3691,264,0.07152533188837713
13237,20039,5210,296,0.056813819577735125
13239,2913,757,76,0.10039630118890357
13241,16072,4178,344,0.0823360459550024
13243,7803,2029,192,0.09462789551503203
13245,193432,50291,3438,0.06836213238949315
13247,83685,21758,1860,0.08548579832705212
13249,4962,1290,169,0.1310077519379845
13251,14673,3815,392,0.10275229357798166
13253,9152,2379,220,0.09247583018074822
13255,62021,16125,1036,0.06424806201550387
13257,25084,6522,716,0.10978227537565165
13259,6509,1693,81,0.047844063792085056
13261,32261,8387,827,0.09860498390366043
13263,4078,1060,75,0.07075471698113207
13265,1805,469,32,0.06823027718550106
13267,25948,6747,504,0.07469986660738105
13269,10435,2713,322,0.11868779948396609
13271,18068,4697,386,0.08218011496700021
13273,9351,2432,217,0.08922697368421052
13275,43580,11331,1128,0.09954990733386286
13277,36196,9411,1120,0.11900966953564977
13279,31527,8197,802,0.09784067341710381
13281,11063,2876,282,0.09805285118219749
13283,6424,1670,159,0.09520958083832336
13285,62293,16197,1288,0.07952089893190097
13287,9659,2511,160,0.06371963361210672
13289,5452,1418,93,0.06558533145275035
13291,20750,5395,289,0.05356811862835959
13293,25499,6630,837,0.1262443438914027
13295,79728,20728,1366,0.0659011964492474
13297,109800,28548,2598,0.09100462379150903
13299,38404,9985,1278,0.12799198798197295
13301,5342,1389,85,0.061195104391648665
13303,20783,5405,566,0.10471785383903792
13305,29938,7785,587,0.07540141297366731
13307,2055,534,26,0.04868913857677903
13309,7137,1855,105,0.05660377358490566
13311,27297,7097,512,0.07214315908130196
13313,105421,27409,1660,0.060564048305301176
13315,8669,2254,277,0.12289263531499556
13317,11012,2863,306,0.10688089416695774
13319,13223,3438,246,0.07155322862129145
13321,22148,5759,626,0.10869942698385136
15001,185079,48121,4935,0.10255397851249974
15003,953207,247835,22846,0.09218229870680089
15005,90,23,3,0.13043478260869565
15007,67091,17446,1803,0.10334747219993122
15009,154834,40258,3483,0.0865169655720602
16001,380169,98842,9870,0.0998563363752251
16003,3940,1025,95,0.09268292682926829
16005,66922,17400,1958,0.11252873563218391
16007,5831,1515,113,0.0745874587458746
16009,9764,2539,176,0.06931862938164632
16011,44161,11482,1376,0.11983974917261801
16013,21270,5530,378,0.06835443037974684
16015,5073,1320,99,0.075
16017,39528,10278,816,0.0793928779918272
16019,105820,27514,3156,0.11470524096823435
16021,10943,2846,275,0.0966268446943078
16023,3215,835,83,0.09940119760479042
16025,1012,263,13,0.049429657794676805
16027,187900,48853,4688,0.0959613534480994
16029,6920,1799,155,0.08615897720956087
16031,23848,6200,750,0.12096774193548387
16033,908,236,32,0.13559322033898305
16035,8116,2110,130,0.061611374407582936
16037,4028,1047,53,0.050620821394460364
16039,40640,10566,907,0.08584137800492145
16041,12781,3323,254,0.07643695455913331
16043,11356,2952,225,0.07621951219512195
16045,16302,4239,535,0.12620901155933004
16047,12902,3354,205,0.06112104949314252
16049,17801,4628,297,0.06417458945548833
16051,25586,6653,379,0.05696678190290095
16053,22540,5860,306,0.052218430034129695
16055,139531,36278,3201,0.08823529411764706
16057,37024,9626,566,0.05879908580926657
16059,7958,2069,166,0.08023199613339778
16061,1476,383,37,0.09660574412532637
16063,5180,1347,104,0.07720861172976985
16065,39203,10194,560,0.054934275063763
16067,20477,5324,324,0.0608564988730278
16069,40739,10592,1130,0.10668429003021149
16071,4234,1101,74,0.06721162579473206
16073,14196,3692,232,0.0628385698808234
16075,21479,5584,508,0.09097421203438395
16077,25068,6518,791,0.12135624424670144
16079,12625,3282,199,0.060633759902498474
16081,10136,2635,244,0.09259962049335864
16083,78641,20448,2134,0.10436228482003129
16085,9971,2592,209,0.08063271604938271
16087,10165,2643,226,0.08550889141127507
17001,66895,17392,1955,0.1124080036798528
17003,8175,2125,232,0.10917647058823529
17005,19471,5062,412,0.08139075464243382
17007,51941,13506,772,0.05715978083814601
17009,6902,1795,143,0.07966573816155989
17011,34606,8998,760,0.08446321404756613
17013,4756,1236,107,0.08656957928802589
17015,15866,4125,392,0.09503030303030303
17017,14404,3745,470,0.12550066755674233
17019,201341,52351,4286,0.08187045137628698
17021,36264,9429,812,0.08611729769858946
17023,17491,4546,276,0.06071271447426309
17025,14572,3789,247,0.0651887041435735
17027,32324,8403,607,0.07223610615256457
17029,53555,13923,808,0.05803346979817568
17031,5204519,1353170,102763,0.07594241669561105
17033,19919,5179,375,0.07240780073373237
17035,10053,2614,179,0.06847742922723794
17037,110311,28679,2321,0.0809302974301754
17039,16456,4280,285,0.06658878504672897
17041,16175,4205,391,0.0929845422116528
17043,985537,256240,21788,0.08502965969403684
17045,18139,4718,312,0.06612971598134802
17047,5892,1532,180,0.1174934725848564
17049,33258,8648,956,0.11054579093432007
17051,22325,5804,522,0.08993797381116471
17053,13989,3637,310,0.08523508386032444
17055,41360,10753,1159,0.10778387426764624
17057,37664,9791,634,0.06475334490858953
17059,5199,1352,116,0.08579881656804733
17061,14302,3718,304,0.08176438945669715
17063,37321,9704,778,0.08017312448474856
17065,7803,2029,152,0.07491375061606703
17067,20169,5246,400,0.07624857033930614
17069,3902,1014,90,0.08875739644970414
17071,6638,1726,153,0.08864426419466975
17073,49417,12849,1027,0.079928399097206
17075,28182,7328,617,0.08419759825327511
17077,58763,15278,1527,0.09994763712527818
17079,9935,2583,197,0.07626790553619822
17081,39350,10231,913,0.08923858860326458
17083,26361,6855,610,0.08898614150255288
17085,22395,5822,496,0.08519409137753349
17087,12346,3211,289,0.09000311429461227
17089,454204,118093,8393,0.07107110497658625
17091,114838,29858,2685,0.0899256480675196
17093,116224,30218,2603,0.0861407108346019
17095,52869,13745,1565,0.11385958530374682
17097,691836,179877,17698,0.09838945501648348
17099,112082,29142,2607,0.08945851348569075
17101,16679,4336,366,0.08440959409594095
17103,36829,9576,568,0.059314954051796154
17105,36387,9461,734,0.07758165098826762
17107,30029,7806,578,0.07404560594414553
17109,31938,8302,645,0.07769212238014936
17111,324798,84447,6238,0.0738688171279027
17113,169245,44002,4740,0.10772237625562474
17115,109644,28509,1444,0.05065067171770318
17117,43599,11336,894,0.07886379675370501
17119,273349,71069,5744,0.08082286228876162
17121,45671,11874,1251,0.10535624052551794
17123,10662,2772,229,0.08261183261183261
17125,12469,3242,251,0.07742134484885872
17127,16164,4203,364,0.08660480609088746
17129,12757,3317,342,0.10310521555622551
17131,17910,4657,409,0.08782477990122396
17133,39005,10141,971,0.09574992604279657
17135,30214,7856,633,0.08057535641547861
17137,35451,9218,677,0.07344326318073335
17139,17576,4570,401,0.08774617067833698
17141,51925,13500,1154,0.08548148148148148
17143,186838,48576,4377,0.09010622529644269
17145,23707,6164,461,0.07478909798831927
17147,17607,4577,322,0.07035175879396985
17149,16973,4412,392,0.08884859474161379
17151,5884,1530,109,0.07124183006535947
17153,5550,1443,126,0.08731808731808732
17155,6113,1589,106,0.06670862177470108
17157,26896,6995,577,0.08248749106504646
17159,16327,4246,299,0.07041921808761187
17161,147695,38401,4002,0.1042160360407281
17163,264347,68730,5656,0.08229303069983995
17165,24266,6308,413,0.0654724159797083
17167,197614,51379,5743,0.11177718523132019
17169,7159,1862,168,0.09022556390977443
17171,4854,1262,119,0.09429477020602219
17173,21884,5691,438,0.07696362677912494
17175,6169,1604,160,0.09975062344139651
17177,48854,12703,922,0.07258128001259545
